Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Resistance,Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height - Seated (Max),Number of Terminations,Failure Rate
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P10.0LTR-ND,ERJ-2RKF10R0X,Panasonic Electronic Components,RES SMD 10 OHM 1% 1/10W 0402,2420000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,10,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P10.2LTR-ND,ERJ-2RKF10R2X,Panasonic Electronic Components,RES SMD 10.2 OHM 1% 1/10W 0402,70000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,10.2,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P10.5LTR-ND,ERJ-2RKF10R5X,Panasonic Electronic Components,RES SMD 10.5 OHM 1% 1/10W 0402,0,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,10.5,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P10.7LTR-ND,ERJ-2RKF10R7X,Panasonic Electronic Components,RES SMD 10.7 OHM 1% 1/10W 0402,50000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,10.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P11.0LTR-ND,ERJ-2RKF11R0X,Panasonic Electronic Components,RES SMD 11 OHM 1% 1/10W 0402,180000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,11,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P11.3LTR-ND,ERJ-2RKF11R3X,Panasonic Electronic Components,RES SMD 11.3 OHM 1% 1/10W 0402,40000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,11.3,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P11.5LTR-ND,ERJ-2RKF11R5X,Panasonic Electronic Components,RES SMD 11.5 OHM 1% 1/10W 0402,110000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,11.5,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P11.8LTR-ND,ERJ-2RKF11R8X,Panasonic Electronic Components,RES SMD 11.8 OHM 1% 1/10W 0402,40000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,11.8,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P12.0LTR-ND,ERJ-2RKF12R0X,Panasonic Electronic Components,RES SMD 12 OHM 1% 1/10W 0402,110000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,12,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P12.1LTR-ND,ERJ-2RKF12R1X,Panasonic Electronic Components,RES SMD 12.1 OHM 1% 1/10W 0402,20000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,12.1,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
